1709402,t0,10035
1709402,t3,10373
1709402,t5,31418
1709402,t6,31333
1709402,t7,31179
1709402,t10,31333
1709402,s0,10485
1709402,a0,10234
1709402,a2,40648
1709402,a3,31418
1709402,a5,31333
1709402,a21,11067
1709402,a21,11073
1709402,a25,30763
1709402,a32,31418
1709402,a33,31333
1709402,a34,30763
1709402,a42,10133
1709402,a48,31418
1709402,a77,10035
1709402,a78,30214
1709402,a90,30223
1709402,a96,30084
1709402,a99,10562
1709402,a100,10019
1709402,a101,10017
1709402,a102,31418
1709402,a104,30223
1709402,a105,30028
1709402,a105,30225
1709402,a111,10998
1709402,a113,11139
1709402,a119,30781
1709402,a119,40228
1709402,a120,30236
1709402,a120,40006
1709402,a122,20404
1709402,a123,10762
1709402,a125,20358
1709402,a148,30154
1709402,a149,11178
1709402,a151,10033
1709402,a153,10404
1709402,a156,30084
1709402,a157,10562
1709402,a160,30037
1709402,a161,10373
1709402,a170,10234
1709402,a173,40648
1709402,a176,10035
1709402,a180,30214
1709402,a182,31418
1709402,a190,10033
1709402,a193,40006
1709402,a201,10133
1709402,a206,30092
1709402,a208,30763
1709402,a219,31418
1709402,a225,10545
1709402,a231,11017
1709402,a232,31418
1709402,a239,11017
1709402,a242,10274
1709402,a243,10133
1709402,a245,10019
1709402,a252,10596
1709402,a255,30092
1709402,a262,31418
1709402,a268,30214
1709402,a269,11178
1709402,a275,10375
1709402,a283,10211
1709402,a283,10234
1709402,a284,10903
1709402,a288,30214
1709402,a290,10017
1709402,a298,10944
1709402,a301,10211
1709402,a301,10234
1709402,a302,10903
1709402,a306,30214
1709402,a312,40006
1709402,a315,10017
1709402,a318,10057
1709402,a319,10275
1709402,a323,10441
1709402,a323,11039
1709402,a325,11022
1709402,a326,10990
1709402,a335,30214
1709402,a339,10035
1709402,a343,10911
1709402,a344,30214
1709402,a346,10035
1709402,a349,10024
1709402,a357,10801
1709402,a362,30223
1709402,a366,31418
1709402,a367,30156
1709402,a369,40217
1709402,a373,40648
1709402,a375,10067
1709402,a375,10069
1709402,a377,10619
1709402,a387,30214
1709402,a389,10156
1709402,a392,11139
1709402,a393,10596
1709402,a393,11037
1709402,a395,10441
1709402,a401,10062
1709402,a404,40006
1709402,a405,30202
1709402,a409,30214
1709402,a415,10106
1709402,a417,10124
1709402,a418,11160
1709402,a420,11123
1709402,a423,10507
1709402,a426,30776
1709402,a428,40006
1709402,a429,10944
1709402,a433,30214
1709402,a440,10944
1709402,a445,10414
1709402,a445,10551
1709402,a446,10393
1709402,a450,30214
1709402,a452,10434
1709402,a457,10724
1709402,a459,10156
1709402,a461,10092
1709402,a465,10024
1709402,a466,20410
1709402,a473,10376
1709402,a474,10894
1709402,a476,11180
1709402,a480,10381
1709402,a483,30214
1709402,a484,20398
1709402,a485,20413
1709402,a487,10017
1709402,a503,10106
1709402,a507,30214
1709402,a512,10998
1709402,a518,30223
1709402,a522,30214
1709402,a524,10434
1709402,a529,10911
1709402,a534,10086
1709402,a534,10709
1709402,a537,10305
1709402,a546,10624
1709402,a546,10741
1709402,a546,10756
1709402,a556,31418
1709402,a563,30214
